Date,BP,JNUG,TSLA
2016-03-17,-19.684237331296117,-9.611011370436962,-15.883336429500172
2016-03-18,-20.21899668958489,-4.3566726511072185,-13.524057217165042
2016-03-21,-20.75375604787365,-3.243566726511171,-11.462010031580794
2016-03-22,-21.212121212121172,-1.1370436864154176,-12.96674716700712
2016-03-23,-23.096511331805413,-20.789946140035987,-17.295188556566853
2016-03-24,-22.53628724216955,-19.497307001795406,-15.381757384358053
2016-03-28,-22.53628724216955,-20.239377618192776,-14.452907300761552
2016-03-29,-22.714540361599134,-5.12268102932385,-14.490061304105406
2016-03-30,-21.23758594346825,-9.886295631358555,-15.697566412780873
2016-03-31,-23.147440794499573,-11.921005385996498,-14.638677317480852
2016-04-01,-24.70078940667172,-8.22262118491931,-11.722088054987811
2016-04-04,-24.67532467532464,-15.344105326152091,-8.229611740664955
2016-04-05,-26.330532212885117,-8.509874326750545,-5.090098458108761
2016-04-06,-25.388337153042993,-7.372830640335238,-1.3932751253946773
2016-04-07,-25.821237585943436,-0.011968880909762891,-4.439903399591227
2016-04-08,-23.223834988540837,11.63375224416503,-7.09641463867724
2016-04-11,-22.816399286987497,34.86535008976644,-7.15214564369303
2016-04-12,-20.550038197097,40.09575104727692,-7.932379713914084
2016-04-13,-20.091673032849478,30.73608617594239,-5.424484488203518
2016-04-14,-21.263050674815343,18.56373429084366,-6.427642578487747
2016-04-15,-21.95059842118663,33.500897666068056,-5.443061489875445
2016-04-18,-20.906544435956175,35.24835427887476,-5.665985509938598
2016-04-19,-19.124013241660265,65.074805505685,-8.099572728961457
2016-04-20,-18.869365928189417,47.02573309395552,-7.133568642021093
2016-04-21,-19.174942704354436,58.99461400359047,-7.7466096971947955
2016-04-22,-18.130888719123973,45.3740275284259,-5.721716514954389
2016-04-25,-19.047619047619012,41.352483542788576,-6.446219580159662
2016-04-26,-14.718614718614687,57.10353081986812,-5.7217165149543785
2016-04-27,-13.827349121466737,60.742070616397136,-6.576258591863171
2016-04-28,-14.718614718614687,82.04667863554731,-7.969533717257937
2016-04-29,-14.489432136490944,114.13524835427853,-10.551736949656231
2016-05-02,-14.3875732111026,104.50029922202239,-10.161619914545705
2016-05-03,-17.086834733893518,86.31956912028696,-13.691250232212438
2016-05-04,-19.989814107461136,53.42908438061018,-17.313765558238824
2016-05-05,-19.582378405907797,67.77977259126243,-21.400705926063456
2016-05-06,-19.582378405907797,94.78156792339882,-20.1374698123722
2016-05-09,-20.855614973262014,50.999401555954236,-22.385287014675757
2016-05-10,-19.327731092436963,67.54039497306972,-22.459595021363477
2016-05-11,-19.35319582378404,84.90724117295001,-22.366710013003832
2016-05-12,-18.869365928189453,78.03710353081954,-22.979751068177524
2016-05-13,-19.862490450725744,81.80730101735456,-22.86828905814594
2016-05-16,-18.36007130124776,94.53022142429649,-22.608211034738936
2016-05-17,-17.95263559969442,112.35188509874288,-23.964332156789837
2016-05-18,-18.181818181818176,61.1968880909632,-21.549321939438915
2016-05-19,-18.563789152024444,66.51107121484112,-20.044584804012555
2016-05-20,-18.69111280875987,72.26810293237551,-18.14973063347568
2016-05-23,-19.887955182072837,63.17175344105297,-19.673044770573956
2016-05-24,-18.920295390883634,27.420706163973428,-19.041426713728338
2016-05-25,-16.322892793481024,41.24476361460179,-18.40980865688271
2016-05-26,-16.984975808505208,38.21663674446416,-16.366338472970387
2016-05-27,-17.596129360835235,18.635547576301438,-17.127995541519535
2016-05-31,-20.04074357015533,29.08438061041274,-17.05368753483182
2016-06-01,-20.19353195823783,27.26511071214821,-18.428385658554657
2016-06-02,-19.73516679399031,27.719928186714338,-18.65130967861781
2016-06-03,-18.81843646549527,74.94913225613378,-18.632732676945885
2016-06-06,-17.16322892793478,83.90185517654069,-18.001114620100257
2016-06-07,-15.788133435192231,76.42130460801886,-13.672673230540521
2016-06-08,-15.278838808250539,100.34709754637908,-12.50232212520892
2016-06-09,-15.864527629233493,112.30400957510432,-14.787293330856343
2016-06-10,-17.9526355996944,100.96947935368004,-18.7070406836336
2016-06-13,-18.86936592818943,103.65050867743828,-19.060003715400264
2016-06-14,-21.23758594346826,91.47815679233955,-20.13746981237221
2016-06-15,-20.67736185383241,116.60083782166323,-19.115734720416057
2016-06-16,-18.43646549528899,96.37342908438022,-19.022849712056388
2016-06-17,-16.60300483829892,105.08677438659441,-19.9516997956529
2016-06-20,-14.896867838044269,110.81986834230958,-18.372654653538834
2016-06-21,-13.03794244970713,91.53800119688769,-18.40980865688269
2016-06-22,-13.700025464731313,95.69120287253104,-26.936652424298636
2016-06-23,-11.81563534504707,95.66726511071175,-27.02953743265828
2016-06-24,-16.017316017316,124.476361460203,-28.237042541333736
2016-06-27,-18.538324420677345,125.56552962297975,-26.230726360765278
2016-06-28,-15.35523300229179,112.55535607420661,-25.023221252089822
2016-06-29,-11.408199643493733,129.59904248952677,-21.902284971205553
2016-06-30,-9.574738986503672,138.30041891083135,-21.12205090098448
2016-07-01,-8.326967150496534,184.90724117294977,-19.56158276054235
2016-07-05,-8.58161446396738,210.29323758228543,-20.49043284413885
2016-07-06,-9.421950598421159,251.72950329144152,-20.323239829091477
2016-07-07,-9.854851031321587,215.52363853979583,-19.76592977893358
2016-07-08,-8.530685001273197,260.15559545182447,-19.450120750510756
2016-07-11,-8.046855105678608,266.2716935966479,-16.477800483001936
2016-07-12,-6.009676597911873,220.80191502094488,-16.53353148801773
